Date,Open,High,Low,Close
12:02,31.88,32.38,31.39,32.281
9/26/2018,32.4,32.6,31.72,32.19
9/25/2018,33.18,33.6,32.19,32.57
9/24/2018,31.13,32.65,30.91,32.61
9/21/2018,31.19,32.42,30.91,31.02
9/20/2018,32.1,32.2,30.64,31.18
9/19/2018,31.52,31.83,30.51,31.21
9/18/2018,32.99,33.37,31.2,31.93
9/17/2018,31.75,33.23,31.6,32.43
9/14/2018,31.43,33.09,30.54,32.72
9/13/2018,33.16,34.14,29.87,30.48
9/12/2018,29.91,32.29,29.45,32.21
9/11/2018,30.02,30.59,29.37,30.1
9/10/2018,28.15,29.925,27.84,29.89
9/7/2018,26.96,28.27,26.8,27.38
9/6/2018,28.12,28.58,27.19,27.84
9/5/2018,29.41,29.94,26.84,28.51
9/4/2018,25.62,28.11,25.5675,28.06
8/31/2018,24.89,25.24,24.72,25.17
8/30/2018,25.29,25.67,24.76,24.89
8/29/2018,24.36,25.41,24.01,25.2
8/28/2018,25.51,26.18,24.04,25.05
8/27/2018,24.94,27.3,24.6261,25.26
8/24/2018,22.91,24,22.67,23.98
8/23/2018,21.19,22.32,21.14,22.29
8/22/2018,20.28,20.92,20.21,20.9
8/21/2018,19.98,20.415,19.86,20.4
8/20/2018,19.79,20.08,19.35,19.98
8/17/2018,19.12,19.82,18.73,19.77
8/16/2018,19.86,20.07,19.25,19.33
8/15/2018,19.86,20.1,19.2,19.7
8/14/2018,19.97,20.28,19.63,20.02
8/13/2018,19.16,19.93,19.12,19.73
8/10/2018,19.09,19.48,18.85,19.06
8/9/2018,19.58,19.71,19.08,19.1
8/8/2018,19.46,19.77,19.255,19.58
8/7/2018,19.53,19.71,19.08,19.56
8/6/2018,18.89,19.44,18.46,19.43
8/3/2018,18.94,19.0566,18.37,18.49
8/2/2018,18.17,18.83,18,18.79
8/1/2018,18.34,18.95,18.32,18.48
7/31/2018,19.35,19.5,18.27,18.33
7/30/2018,19.4,20.18,19.31,19.42
7/27/2018,19.07,19.88,18.31,18.94
7/26/2018,17.16,18.45,16.83,18.35
7/25/2018,16.3,16.39,15.72,16.05
7/24/2018,16.75,16.86,16.11,16.19
7/23/2018,16.47,16.68,15.895,16.66
7/20/2018,16.66,16.88,16.44,16.5
7/19/2018,16.71,16.88,16.55,16.71
7/18/2018,16.94,16.99,16.55,16.85
7/17/2018,16.5,16.88,16.48,16.87
7/16/2018,16.42,17,16.41,16.58
7/13/2018,16.68,16.69,16.22,16.27
7/12/2018,16.41,16.79,16.38,16.56
7/11/2018,16.15,16.53,16.02,16.27
7/10/2018,16.59,16.65,16.31,16.55
7/9/2018,16.73,16.84,16.17,16.61
7/6/2018,15.52,16.39,15.48,16.36
7/5/2018,15.13,15.5,15.02,15.5
7/3/2018,15.21,15.34,14.96,15
7/2/2018,14.8,15.18,14.74,15.16
6/29/2018,15.41,15.49,14.98,14.99
6/28/2018,14.85,15.36,14.75,15.31
6/27/2018,15.65,15.76,14.96,14.97
6/26/2018,15.32,15.6,15.1,15.5
6/25/2018,15.64,15.74,14.54,15.11
6/22/2018,15.78,15.91,15.56,15.8
6/21/2018,16.65,16.87,15.46,15.65
6/20/2018,16.83,17.13,16.37,16.52
6/19/2018,16.85,17.29,16.31,16.69
6/18/2018,16.18,17.34,16.13,17.11
6/15/2018,16.06,16.52,15.82,16.34
6/14/2018,16.62,16.79,15.58,16.25
6/13/2018,15.81,16.52,15.78,16.32
6/12/2018,15.84,15.95,15.43,15.85
6/11/2018,15.21,15.89,15.01,15.73
6/8/2018,14.52,15.33,14.31,15.25
6/7/2018,15.83,15.97,14.85,14.89
6/6/2018,15.07,15.74,15.04,15.67
6/5/2018,14.85,14.9185,14.63,14.85
6/4/2018,14.76,14.98,14.52,14.85
6/1/2018,13.98,14.4,13.92,14.4
5/31/2018,13.74,13.93,13.69,13.73
5/30/2018,13.48,13.95,13.48,13.82
5/29/2018,13.45,13.63,13.26,13.36
5/25/2018,13.4,13.72,13.36,13.54
5/24/2018,13.06,13.43,13.03,13.41
5/23/2018,12.93,13.18,12.9,13.1
5/22/2018,13,13.14,12.71,12.98
5/21/2018,13.25,13.31,12.88,12.99
5/18/2018,13.06,13.26,12.91,13
5/17/2018,12.79,12.9,12.66,12.82
5/16/2018,12.64,12.98,12.62,12.82
5/15/2018,12.18,12.46,12.16,12.45
5/14/2018,12.14,12.36,12.11,12.23
5/11/2018,11.89,12.03,11.69,11.95
5/10/2018,11.98,12.18,11.95,12.13
5/9/2018,11.65,11.98,11.57,11.95
5/8/2018,11.49,11.66,11.4,11.61
5/7/2018,11.32,11.68,11.3,11.59
5/4/2018,10.88,11.29,10.8701,11.28
5/3/2018,10.902,11.06,10.83,10.93
5/2/2018,11.1,11.155,10.97,10.97
5/1/2018,10.83,11.15,10.77,11.13
4/30/2018,11.055,11.14,10.87,10.88
4/27/2018,11.2,11.36,11.02,11.11
4/26/2018,10.87,11.19,10.61,11.04
4/25/2018,10.06,10.09,9.56,9.71
4/24/2018,10.19,10.35,9.95,10.09
4/23/2018,10.09,10.19,9.97,10.04
4/20/2018,10.05,10.14,9.95,9.99
4/19/2018,10.18,10.3284,9.99,10.11
4/18/2018,10.51,10.65,10.33,10.36
4/17/2018,10.28,10.53,10.2,10.52
4/16/2018,10,10.17,9.9,10.09
4/13/2018,10.2,10.22,9.88,9.93
4/12/2018,9.98,10.1,9.82,10.08
4/11/2018,9.87,10.03,9.79,9.82
4/10/2018,9.75,10.04,9.71,9.98
4/9/2018,9.75,9.84,9.52,9.53
4/6/2018,9.83,10.1,9.5,9.61
4/5/2018,10.05,10.2,9.91,10.02
4/4/2018,9.08,9.81,9.04,9.77
4/3/2018,9.63,9.77,9.3,9.55
4/2/2018,9.99,10.14,9.51,9.53
3/29/2018,9.94,10.08,9.81,10.05
3/28/2018,9.99,10.1689,9.79,9.81
3/27/2018,10.51,10.59,9.9,10
3/26/2018,10.71,10.8,10.18,10.44
3/23/2018,10.91,10.97,10.57,10.63
3/22/2018,11.1,11.26,10.85,10.91
3/21/2018,11.16,11.34,11.11,11.26
3/20/2018,11.41,11.52,11,11.11
3/19/2018,11.41,11.74,11.351,11.43
3/16/2018,11.49,11.55,11.32,11.47
3/15/2018,11.43,11.55,11.19,11.46
3/14/2018,11.7,11.72,11.26,11.36
3/13/2018,11.5,12.035,11.095,11.64
3/12/2018,11.76,11.82,11.48,11.52
3/9/2018,12.03,12.0392,11.58,11.7
3/8/2018,12.395,12.59,11.74,11.97
3/7/2018,11.58,12.82,11.55,12.24
3/6/2018,12.01,12.045,11.71,11.76
3/5/2018,11.69,12.055,11.61,11.91
3/2/2018,11.67,11.93,11.43,11.81
3/1/2018,12.26,12.27,11.66,11.9
2/28/2018,12.66,12.73,12.1,12.11
2/27/2018,12.43,12.88,12.39,12.53
2/26/2018,12.14,12.43,12.05,12.42
2/23/2018,11.95,12.16,11.94,12.07
2/22/2018,11.82,11.995,11.63,11.84
2/21/2018,12.12,12.12,11.72,11.72
2/20/2018,11.72,12.19,11.71,12.02
2/16/2018,12.11,12.225,11.82,11.82
2/15/2018,12.4,12.625,12.07,12.19
2/14/2018,11.72,12.31,11.63,12.2
2/13/2018,11.6,11.82,11.53,11.78
2/12/2018,11.47,11.8,11.43,11.68
2/9/2018,11.54,11.57,10.63,11.31
2/8/2018,11.72,11.85,11.21,11.22
2/7/2018,11.7,11.9,11.53,11.6
2/6/2018,11.04,11.74,11,11.65
2/5/2018,12.05,12.18,10.93,11.57
2/2/2018,13.05,13.06,12.43,12.45
2/1/2018,13.62,13.84,13.21,13.25
1/31/2018,13.24,13.85,13.15,13.74
1/30/2018,13.12,13.27,12.69,12.87
1/29/2018,13.13,13.47,13.05,13.32
1/26/2018,12.7,12.95,12.62,12.95
1/25/2018,12.78,12.94,12.32,12.41
1/24/2018,13.02,13.05,12.6,12.71
1/23/2018,12.82,12.995,12.76,12.94
1/22/2018,12.61,12.74,12.37,12.65
1/19/2018,12.56,12.88,12.54,12.59
1/18/2018,12.18,12.68,12.15,12.47
1/17/2018,11.9,12.19,11.82,12.18
1/16/2018,12.05,12.2,11.8,11.91
1/12/2018,11.82,12.07,11.8,12.02
1/11/2018,12.07,12.19,11.9001,12.14
1/10/2018,11.63,12.15,11.56,11.96
1/9/2018,12,12.02,11.71,11.82
1/8/2018,12.01,12.3,11.85,12.28
1/5/2018,12.19,12.22,11.66,11.88
1/4/2018,12.095,12.43,11.97,12.12
1/3/2018,11.61,12.14,11.36,11.55
1/2/2018,10.42,11.02,10.34,10.98
12/29/2017,10.57,10.58,10.27,10.28
12/28/2017,10.57,10.64,10.43,10.55
12/27/2017,10.45,10.74,10.4,10.53
12/26/2017,10.38,10.579,10.34,10.46
12/22/2017,10.75,10.77,10.2,10.54
12/21/2017,10.98,11.0793,10.87,10.89
12/20/2017,11.1,11.18,10.8,10.98
12/19/2017,11,11.19,10.87,10.95
12/18/2017,10.6,11,10.51,10.98
12/15/2017,10.13,10.32,10.02,10.29
12/14/2017,10.1,10.17,9.96,10.13
12/13/2017,9.97,10.21,9.95,10.11
12/12/2017,10.13,10.14,9.88,9.9
12/11/2017,9.97,10.16,9.96,10.16
12/8/2017,10.15,10.2,9.92,9.94
12/7/2017,10.071,10.19,9.95,10.04
12/6/2017,9.9,10.05,9.71,10
12/5/2017,9.89,10.34,9.7,9.91
12/4/2017,10.85,10.86,9.82,10.03
12/1/2017,10.81,10.97,10.53,10.73
11/30/2017,10.87,11.03,10.76,10.89
11/29/2017,11.08,11.17,10.73,10.83
11/28/2017,11.45,11.54,11,11.17
11/27/2017,11.34,11.74,11.3358,11.55
11/24/2017,11.38,11.42,11.3,11.38
11/22/2017,11.41,11.49,11.3,11.37
11/21/2017,11.421,11.49,11.24,11.4
11/20/2017,11.47,11.505,11.19,11.34
11/17/2017,11.3,11.75,11.28,11.38
11/16/2017,11.13,11.32,11.13,11.25
11/15/2017,11.01,11.13,10.77,11.07
11/14/2017,11.03,11.26,11,11.12
11/13/2017,11.18,11.2,10.92,11.09
11/10/2017,11.22,11.43,11.115,11.26
11/9/2017,11.25,11.35,11.03,11.12
11/8/2017,11.94,11.95,11.51,11.71
11/7/2017,11.94,12.27,11.92,12.05
11/6/2017,12.04,12.09,11.64,11.93
11/3/2017,10.95,11.13,10.82,11.12
11/2/2017,10.87,10.99,10.66,10.85
11/1/2017,11.25,11.29,10.72,10.8
10/31/2017,10.76,11.31,10.69,10.985
10/30/2017,11.255,11.42,10.65,10.89
10/27/2017,12.17,12.19,11.35,11.84
10/26/2017,12.45,12.46,12,12.005
10/25/2017,12.95,13.13,12.29,12.33
10/24/2017,14.2,14.36,14.15,14.25
10/23/2017,13.94,14.19,13.8999,14.1
10/20/2017,14.03,14.09,13.8,13.81
10/19/2017,13.85,14.04,13.69,13.95
10/18/2017,14.2,14.279,13.76,14.07
10/17/2017,14.24,14.345,14.135,14.16
10/16/2017,14.25,14.35,14.12,14.26
10/13/2017,14.32,14.41,14.12,14.22
10/12/2017,13.85,14.37,13.81,14.2
10/11/2017,13.62,13.96,13.61,13.88
10/10/2017,13.72,13.79,13.44,13.7
10/9/2017,13.26,13.83,13.26,13.47
10/6/2017,13.22,13.39,13.18,13.23
10/5/2017,13.38,13.46,13.21,13.34
10/4/2017,13.31,13.5,13.15,13.31
10/3/2017,12.73,13.48,12.7,13.42
10/2/2017,12.8,12.85,12.62,12.71
9/29/2017,12.765,12.82,12.6,12.75
9/28/2017,12.76,12.84,12.55,12.74
9/27/2017,12.65,12.87,12.5,12.74
9/26/2017,12.85,12.93,12.43,12.45
